site,grid,vrm_1cm,height_diff,mean_curv,mean_pro_curv,mean_plan_curv,vrm_dev
NDR,10,0.072131326,1.125041008,-0.009431263,-4.354703015,-4.364094463,-0.005982714
NDR,11,0.069864691,1.549998283,-0.066276887,-2.272797466,-2.348595811,-0.006277
NDR,12,0.080771089,1.908389091,0.106568404,-3.559619196,-3.453472716,0.003566657
NDR,13,0.047842351,0.832741261,-0.12040754,-4.728428967,-4.848836507,0.002959207
NDR,14,0.05714083,1.398088455,0.052582372,-3.503521405,-3.450939034,0.006301216
NDR,15,0.092910126,2.430309772,-0.361177517,-12.51925812,-12.88075276,-0.017045196
NDR,16,0.093382682,1.754495621,0.161527897,2.49089807,2.651992666,-0.007549406
NDR,17,0.061403428,1.270794868,-0.068823066,-4.067260906,-4.136083973,-0.000194741
NDR,18,0.075153329,1.764900208,0.019761194,-5.724437461,-5.702978505,0.002874798
NDR,49,0.037376604,1.172475815,0.207732976,-3.06853066,-2.860797685,0.012700299
NDR,50,0.078875181,2.174548626,0.111176473,-5.300100144,-5.204949885,-0.009054202
NDR,51,0.083049584,2.204275608,0.147027136,0.302078811,0.442284249,0.005148274
