site,grid,fac,height_diff,sd_relief
NDR,96,32,0.57621296,0.119533909
CR,1,1,2.110561371,0.3495842
CR,1,2,2.099148512,0.349297859
CR,1,4,2.072706401,0.348754187
CR,1,8,2.049227424,0.347669784
CR,1,16,2.0159958,0.345654867
CR,1,32,1.86937565,0.341865987
CR,2,1,1.006903648,0.228973319
CR,2,2,0.985446334,0.228729536
CR,2,4,0.961209714,0.22826919
CR,2,8,0.931320235,0.227349554
CR,2,16,0.902401488,0.225797549
CR,2,32,0.852850444,0.223213271
CR,3,1,1.749868393,0.290566863
CR,3,2,1.676826239,0.29006031
CR,3,4,1.644582957,0.289139239
CR,3,8,1.607759707,0.287578316
CR,3,16,1.497436,0.284386917
CR,3,32,1.340040892,0.278837053
CR,4,1,2.547242641,0.41923764
CR,4,2,2.517858148,0.418989449
CR,4,4,2.493810266,0.418544612
CR,4,8,2.445494696,0.417651629
CR,4,16,2.367372461,0.416087883
CR,4,32,2.19100428,0.412981945
CR,5,1,1.72933197,0.364581798
CR,5,2,1.636130571,0.363874126
CR,5,4,1.523658097,0.362643662
CR,5,8,1.469600454,0.360690356
CR,5,16,1.405955538,0.356970515
CR,5,32,1.353454491,0.34981299
CR,6,1,2.018838882,0.445319312
CR,6,2,1.941995621,0.445047203
CR,6,4,1.897682786,0.444499078
CR,6,8,1.82351163,0.44340182
CR,6,16,1.74768699,0.440903535
CR,6,32,1.664818081,0.436550279
CR,7,1,1.658190727,0.448933415
CR,7,2,1.613046646,0.448551762
CR,7,4,1.583812416,0.447876666
CR,7,8,1.508804828,0.446653506
CR,7,16,1.470239185,0.444231399
CR,7,32,1.394328766,0.440221798
CR,8,1,1.467518806,0.307335135
CR,8,2,1.437316656,0.306883694
CR,8,4,1.381332219,0.305993838
CR,8,8,1.334962606,0.304388741
CR,8,16,1.290795077,0.301067495
CR,8,32,1.228458214,0.294296869
CR,9,1,2.183596611,0.408468208
CR,9,2,2.097720385,0.408107191
CR,9,4,1.986417949,0.40747146
CR,9,8,1.91939564,0.406272249
CR,9,16,1.855956707,0.404157276
CR,9,32,1.800896738,0.399767296
CR,10,1,1.842902184,0.426091609
CR,10,2,1.837246895,0.425556408
CR,10,4,1.811127245,0.424638112
CR,10,8,1.773745283,0.423050585
CR,10,16,1.72937211,0.420325123
CR,10,32,1.661911612,0.415105889
CR,11,1,1.708381653,0.305947258
CR,11,2,1.670940638,0.305268549
CR,11,4,1.614112914,0.304072949
CR,11,8,1.560024112,0.301753034
CR,11,16,1.432900328,0.298091292
CR,11,32,1.340373046,0.289659306
CR,12,1,2.352329731,0.533055563
CR,12,2,2.311744809,0.532459699
CR,12,4,2.194181055,0.531445848
CR,12,8,2.056876838,0.529850256
CR,12,16,1.935584705,0.527292671
CR,12,32,1.855772435,0.521942926
CR,13,1,1.682790279,0.345163619
CR,13,2,1.655942559,0.344574105
CR,13,4,1.588812172,0.343545363
CR,13,8,1.545189433,0.341799382
CR,13,16,1.470695574,0.338586789
CR,13,32,1.371437235,0.333618321
CR,15,1,3.270487785,0.743668064
CR,15,2,3.139881611,0.743205031
CR,15,4,3.069180906,0.742511864
CR,15,8,2.96852456,0.741385516
CR,15,16,2.90252053,0.739463239
CR,15,32,2.831362719,0.736118367
CR,16,1,1.760848999,0.226841016
CR,16,2,1.688850641,0.226405304
CR,16,4,1.59991014,0.225464406
CR,16,8,1.558577448,0.223518359
CR,16,16,1.452447817,0.219560825
CR,16,32,1.273900447,0.212421507
CR,17,1,2.516582489,0.385749242
CR,17,2,2.480792046,0.385085128
CR,17,4,2.445891976,0.383913477
CR,17,8,2.397483319,0.381886515
CR,17,16,2.290706001,0.377811499
CR,17,32,1.764415106,0.369292195
CR,18,1,2.423336029,0.507197446
CR,18,2,2.418026924,0.506781636
CR,18,4,2.402245522,0.50599937
CR,18,8,2.348309934,0.504570773
CR,18,16,2.248133905,0.502053322
CR,18,32,2.182850632,0.497131456
CR,19,1,2.717886925,0.450826685
CR,19,2,2.680162907,0.450382724
CR,19,4,2.588999689,0.449633039
CR,19,8,2.512527615,0.448349632
CR,19,16,2.445436973,0.446151231
CR,19,32,2.331168031,0.44185743
CR,20,1,3.04733181,0.63922395
CR,20,2,2.822122335,0.638604771
CR,20,4,2.752367616,0.637660775
