site,trans,grid,x,y,outplant
NDR,b,46,8,4,0
NDR,c,47,8,5,0
NDR,c,48,8,6,0
NDR,a,49,9,1,0
NDR,a,50,9,2,0
NDR,b,51,9,3,0
NDR,b,52,9,4,0
NDR,c,53,9,5,0
NDR,c,54,9,6,0
NDR,a,55,10,1,0
NDR,a,56,10,2,0
NDR,b,57,10,3,0
NDR,b,58,10,4,0
NDR,c,59,10,5,0
NDR,c,60,10,6,0
NDR,a,61,11,1,0
NDR,a,62,11,2,0
NDR,b,63,11,3,0
NDR,b,64,11,4,0
NDR,c,65,11,5,0
NDR,c,66,11,6,0
NDR,a,67,12,1,0
NDR,a,68,12,2,0
NDR,b,69,12,3,0
NDR,b,70,12,4,0
NDR,c,71,12,5,0
NDR,c,72,12,6,0
NDR,a,73,13,1,0
NDR,a,74,13,2,0
NDR,b,75,13,3,0
NDR,b,76,13,4,0
NDR,c,77,13,5,0
NDR,c,78,13,6,0
NDR,a,79,14,1,0
NDR,a,80,14,2,0
NDR,b,81,14,3,0
NDR,b,82,14,4,0
NDR,c,83,14,5,0
NDR,c,84,14,6,0
NDR,a,85,15,1,0
NDR,a,86,15,2,0
NDR,b,87,15,3,0
NDR,b,88,15,4,0
NDR,c,89,15,5,0
NDR,c,90,15,6,0
NDR,a,91,16,1,1
NDR,a,92,16,2,0
NDR,b,93,16,3,0
NDR,b,94,16,4,0
NDR,c,95,16,5,0
NDR,c,96,16,6,0
NDRC,a,1,1,1,0
NDRC,a,2,1,2,0
NDRC,b,3,1,3,0
NDRC,b,4,1,4,0
NDRC,c,5,1,5,0
NDRC,c,6,1,6,0
NDRC,a,7,2,1,0
NDRC,a,8,2,2,0
NDRC,b,9,2,3,0
NDRC,b,10,2,4,0
NDRC,c,11,2,5,0
NDRC,c,12,2,6,0
NDRC,a,13,3,1,0
NDRC,a,14,3,2,0
NDRC,b,15,3,3,0
NDRC,b,16,3,4,0
NDRC,c,17,3,5,0
NDRC,c,18,3,6,0
NDRC,a,19,4,1,0
NDRC,a,20,4,2,0
NDRC,b,21,4,3,0
NDRC,b,22,4,4,0
NDRC,c,23,4,5,0
NDRC,c,24,4,6,0
NDRC,a,25,5,1,0
NDRC,a,26,5,2,0
NDRC,b,27,5,3,0
NDRC,b,28,5,4,0
NDRC,c,29,5,5,0
NDRC,c,30,5,6,0
NDRC,a,31,6,1,0
NDRC,a,32,6,2,0
NDRC,b,33,6,3,0
NDRC,b,34,6,4,0
NDRC,c,35,6,5,0
NDRC,c,36,6,6,0
NDRC,a,37,7,1,0
NDRC,a,38,7,2,0
NDRC,b,39,7,3,0
NDRC,b,40,7,4,0
NDRC,c,41,7,5,0
NDRC,c,42,7,6,0
NDRC,a,43,8,1,0
NDRC,a,44,8,2,0
NDRC,b,45,8,3,0
NDRC,b,46,8,4,0
NDRC,c,47,8,5,0
NDRC,c,48,8,6,0
NDRC,a,49,9,1,0
NDRC,a,50,9,2,0
NDRC,b,51,9,3,0
NDRC,b,52,9,4,0
NDRC,c,53,9,5,0
NDRC,c,54,9,6,0
NDRC,a,55,10,1,0
NDRC,a,56,10,2,0
NDRC,b,57,10,3,0
NDRC,b,58,10,4,0
NDRC,c,59,10,5,0
NDRC,c,60,10,6,0
NDRC,a,61,11,1,0
NDRC,a,62,11,2,0
NDRC,b,63,11,3,0
NDRC,b,64,11,4,0
NDRC,c,65,11,5,0
NDRC,c,66,11,6,0
NDRC,a,67,12,1,0
NDRC,a,68,12,2,0
NDRC,b,69,12,3,0
